Sample_ID,A_10_NIT_LMR_IN_USB_00_00_00.csv,A_1_NIT_LMR_IN_USB_03_19_19.csv,A_2_NIT_LMR_IN_USB_03_14_19.csv,A_3_NIT_LMR_IN_USB_00_00_00.csv,A_4_NIT_LMR_IN_USB_00_00_00.csv,A_5_NIT_LMR_IN_USB_03_21_19.csv,A_6_NIT_LMR_IN_USB_03_22_19.csv,A_7_NIT_LMR_IN_USB_03_22_19.csv,A_8_NIT_LMR_IN_USB_03_28_19.csv,A_9_NIT_LMR_IN_USB_03_29_19.csv,B_1_NIT_LMR_IN_USB_04_02_19.csv,B_2_NIT_LMR_IN_USB_04_02_19.csv,C_1_NIT_LMR_IN_USB_04_02_19.csv
IN-1285,,,,,,,,,,10.881156843459205,,,
IN-1286,,,,,,,,,,x_9.501115986986482,,6.979092825644652,
IN-1287,,,,,,,,,,5.475996822274371,,,
IN-1288,,,,,,,,,,7.431054702277395,,,
IN-1289,,,,,,,,,,x_10.076133010516784,,7.205886414479432,
IN-1290,,,,,,,,,,9.846126201104664,,,
IN-1291,,,,,,,,,,8.69609215404406,,,
IN-1292,,,,,,,,,,7.201047892865273,,,
IN-1293,,,,,,,,,,5.1309866081561895,,,
IN-1294,,,,,,,,,,7.086044488159213,,,
IN-1295,,,,,,,,,,10.191136415222845,,,
IN-1296,,,,,,,,,,6.971041083453154,,,
IN-1297,,,,,,,,,,9.156105772868301,,,
IN-1298,,,,,,,,,,9.731122796398603,,,
IN-1299,,,,,,,,,,6.7410342740410325,,,
IN-1300,,,,,,,,,,5.706003631686491,,,
IN-1301,9.679281959340964,,,,,,,,,,,,
IN-1302,x_8.44784470345815,,,,,,,,,,,5.391537703801214,
IN-1303,7.552253971907016,,,,,,,,,,,,
IN-1304,7.66420281335091,,,,,,,,,,,,
IN-1305,7.440305130463126,,,,,,,,,,,,
IN-1306,x_8.44784470345815,,,,,,,,,,,,
IN-1307,10.127077325116531,,,,,,,,,,,,
IN-1308,9.231486593565396,,,,,,,,,,,,
IN-1309,5.873021350248638,,,,,,,,,,,,
IN-1310,7.104458606131447,,,,,,,,,,,,
IN-1311,6.992509764687554,,,,,,,,,,,,
IN-1312,7.66420281335091,,,,,,,,,,,,
IN-1313,7.104458606131447,,,,,,,,,,,,
IN-1314,x_10.015128483672639,,,,,,,,,,,6.525505647975099,
IN-1315,7.440305130463123,,,,,,,,,,,,
IN-1316,8.559793544902043,,,,,,,,,,,,
IN-1317,7.104458606131447,,,,,,,,,,,,
IN-1318,8.44784470345815,,,,,,,,,,,,
IN-1319,9.567333117897071,,,,,,,,,,,,
IN-1320,9.231486593565396,,,,,,,,,,,,
IN-1321,x_10.910719215223772,,,,,,,,,,,7.092489620062041,
IN-1322,8.783691227789827,,,,,,,,,,,,
