Sample_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
IN-1235,,,,,,,,,,,,,,,207395.00691793897,98297.95160289342,,,,,,,,
IN-1236,,,,,,,,,,,,,,,169608.74737595415,106332.35407782737,,,,,,,,
IN-1237,,,,,,,,,,,,,,,119227.06798664121,108750.00102317226,,,,,,,,
IN-1238,,,,,,,,,,,,,,,119227.06798664121,104476.38268544142,,,,,,,,
IN-1239,,,,,,,,,,,,,,,175906.45729961828,124769.9646206089,,,,,,,,
IN-1240,,,,,,,,,,,,,,,131822.48783396944,118249.64407104246,,,,,,,,
IN-1241,,,,,,,,,,,,,,,207395.00691793897,90507.75589011553,,,,,,,,
IN-1242,,,,,,,,,,,,,,,144417.9076812977,88480.83976422033,,,,,,,,
IN-1243,,,,,,,,,,,,,,,207395.00691793897,112999.19868468746,,,,,,,,
IN-1244,,,,,,,,,,,,,,,112929.35806297707,108383.69087993816,,,,,,,,
IN-1245,,,,,,,,,,,,,,,,,36701.17034017687,121570.57257286822,,,,,,
IN-1246,,,,,,,,,,,,,,,,,47990.127554704166,123311.81677922857,,,,,,
IN-1247,,,,,,,,,,,,,,,,,26541.108847102292,123415.4622677024,,,,,,
IN-1248,,,,,,,,,,,,,,,,,46409.673544670346,123705.66963542912,,,,,,
IN-1249,,,,,,,,,,,,,,,,,46183.894400379795,123415.4622677024,,,,,,
IN-1250,,,,,,,,,,,,,,,,,62552.88236144439,115372.57236213329,,,,,,
IN-1251,,,,,,,,,,,,,,,,,59617.7534856673,120409.74310196136,,,,,,
IN-1252,,,,,,,,,,,,,,,,,42119.86980314997,90186.71866299286,,,,,,
IN-1253,,,,,,,,,,,,,,,,,20783.740667693375,84797.15326235374,,,,,,
IN-1254,,,,,,,,,,,,,,,,,26202.440130666473,88839.32731283308,,,,,,
IN-1255,,,,,,,,,,,,,,,,,41103.86365384252,123705.66963542912,,,37179.516928836216,,,
IN-1256,,,,,,,,,,,,,,,,,27444.22542426448,103266.77930839003,,,,,,
IN-1257,,,,,,,,,,,,,,,,,15252.151632574989,123083.79670458614,,,14162.250320700428,,,
IN-1258,,,,,,,,,,,,,,,,,23041.532110598833,92777.85587483857,,,21244.486200126823,,,
IN-1259,,,,,,,,,,,,,,,,,10962.347891054615,8368.970061752372,,,,,,
IN-1260,,,,,,,,,,,,,,,,,7575.660726696425,17862.89680595509,,,7743.974054970257,,6659.632058586421,
IN-1261,,,,,,,,,,,,,,,,,8365.887731713337,4907.210746726488,,,,,,
IN-1262,,,,,,,,,,,,,,,,,7462.771154551151,5342.521798316568,,,,,,
IN-1263,,,,,,,,,,,,,,,,,10285.010458182978,14173.117416286783,,,9071.893282362707,,,
IN-1264,,,,,,,,,,,,,,,,,6559.65457738897,8514.073745615731,,,6748.0346344259215,,,
IN-1265,,,,,,,,,,,,,,,,,6785.433721679513,9363.966751101128,,,,,,
IN-1266,,,,,,,,,,,,,,,,,8365.887731713337,3953.6722527672623,,,,,,
IN-1267,,,,,,,,,,,,,,,,,8591.666876003883,7332.515177014082,,,,,,
IN-1268,,,,,,,,,,,,,,,,,9494.783453166068,12618.435089179353,,,7190.674376890071,,,
IN-1269,,,,,,,,,,,,,,,,,12091.243612507347,5529.08367756946,,,,,,
IN-1270,,,,,,,,,,,,,,,,,6333.875433098423,7809.284423993695,,,6637.374698809885,,,
IN-1271,,,,,,,,,,,,,,,,,6785.433721679515,6005.852924549073,,,6526.714763193847,,,
IN-1272,,,,,,,,,,,,,,,,,10510.789602473526,7042.307809287361,,,,7741.644058256581,8253.809099182954,10337.930754372446
IN-1273,,,,,,,,,,,,,,,,,,,7768.355700051032,7326.51427462889,,,,10337.930754372446
IN-1274,,,,,,,,,,,,,,,,,,,7422.05873183711,9943.719377772617,,,,
IN-1275,,,,,,,,,,,,,,,,,,,7306.626409099136,17553.408165064466,,,,
IN-1276,,,,,,,,,,,,,,,,,,,7422.058731837109,6292.8282254880905,,,,
IN-1277,,,,,,,,,,,,,,,,,,,6383.167827195348,7920.3339198799895,,,,
IN-1278,,,,,,,,,,,,,,,,,,,7075.761763623191,8272.22704299175,,,6659.6320585864205,
IN-1279,,,,,,,,,,,,,,,,,,,6383.167827195348,7084.587752489554,,,7001.241424428534,
IN-1280,,,,,,,,,,,,,,,,,,,10538.7314457624,11197.33862885827,,,8937.027830867182,
IN-1281,,,,,,,,,,,,,,,,,,,10885.02841397632,4181.46948681752,,,9620.24656255141,
IN-1282,,,,,,,,,,,,,,,,,,,11577.622350404163,7040.601112100585,,,9506.37677393737,
IN-1283,,,,,,,,,,,,,,,,,,,8576.381959216847,4445.3893291513405,,,,10871.378354050536
IN-1284,,,,,,,,,,,,,,,,,,,8114.652668264952,7106.581072684039,,,,10871.378354050536
IN-1285,,,,,,,,,,,,,,,,,,,11346.757704928214,12318.997958777009,,,,
IN-1286,,,,,,,,,,,,,,,,,,,9961.569832072533,7744.387358324108,,,7456.720578884686,
IN-1287,,,,,,,,,,,,,,,,,,,5921.438536243452,8646.113486297998,,,,
IN-1288,,,,,,,,,,,,,,,,,,,7883.788022789004,10515.545702829231,,,,
IN-1289,,,,,,,,,,,,,,,,,,,10538.731445762402,13022.784205000533,,,7684.460156112765,
IN-1290,,,,,,,,,,,,,,,,,,,10307.866800286454,12055.07811644319,,,,
IN-1291,,,,,,,,,,,,,,,,,,,9153.543572906716,12450.957879943922,,,,
IN-1292,,,,,,,,,,,,,,,,,,,7652.923377313057,6116.881663932209,,,,
IN-1293,,,,,,,,,,,,,,,,,,,5575.14156802953,4885.255733041044,,,,
